Categoría;Gestión;Género;Cantidad;
Estudiantes;Estatal;Femenino;1028949;
Estudiantes;Estatal;Masculino;722658;
Estudiantes;Privado;Femenino;253107;
Estudiantes;Privado;Masculino;182578;
Nuevas/os Inscriptas/os;Estatal;Femenino;278079;
Nuevas/os Inscriptas/os;Estatal;Masculino;193748;
Nuevas/os Inscriptas/os;Privado;Femenino;71246;
Nuevas/os Inscriptas/os;Privado;Masculino;53373;
Egresadas/os;Estatal;Femenino;53625;
Egresadas/os;Estatal;Masculino;34455;
Egresadas/os;Privado;Femenino;30065;
Egresadas/os;Privado;Masculino;17763;
